FromID,From,ToID,To,条件/分支,动作/自动化,事件类型
A,客户报备,B,立项,资料完整且通过查重,创建机会、默认任务,message
B,立项,C,方案报价,需求澄清完成,生成报价草稿任务,message
C,方案报价,D,会审审批,提交会审,校验并生成摘要,message
D,会审审批,C,方案报价,退回,记录意见并回退,exclusive
D,会审审批,E,跟进谈单,通过,更新阶段=谈单,exclusive
E,跟进谈单,F,结果判定,达到判定标准或截止,汇总证据与预测,timer
F,结果判定,G,转售后建档,赢单,启动售后/或Saga前置,message
F,结果判定,X,关闭-输单,输单,沉淀原因与复盘,message
G,转售后建档,H,分派人员,建档完成,生成排期任务,message
H,分派人员,I,工地交底,人员就位,推送日程与任务,message
I,工地交底,J,绘图下单,交底完成,拆解制图任务,message
J,绘图下单,K,安装,下单完成&物料到位,排期到点通知,message
K,安装,L,内部验收,安装完工,生成验收任务,message
L,内部验收,K,安装,验收不合格,自动回流整改,exclusive
L,内部验收,M,客户交付,验收通过,生成交付包与签署流程,message
